Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.139,34.160.144.191,1,100,36824,443,1717495204.1290784,24.0,Other,3232270731,580948159
34.160.144.191,192.168.137.139,1,60,443,36824,1717495204.1301746,16.0,Other,580948159,3232270731
34.160.144.191,192.168.137.139,1,100,443,36824,1717495204.135106,24.0,Other,580948159,3232270731
192.168.137.139,34.160.144.191,1,54,36824,443,1717495204.135246,16.0,Other,3232270731,580948159
192.168.137.139,34.107.243.93,1,93,51452,443,1717495205.1300755,24.0,Other,3232270731,577499997
34.107.243.93,192.168.137.139,1,60,443,51452,1717495205.13072,16.0,Other,577499997,3232270731
192.168.137.139,152.195.38.76,1,54,54290,80,1717495205.1310885,17.0,Other,3232270731,2562926156
152.195.38.76,192.168.137.139,1,60,80,54290,1717495205.1315181,16.0,Other,2562926156,3232270731
34.107.243.93,192.168.137.139,1,93,443,51452,1717495205.1371493,24.0,Other,577499997,3232270731
192.168.137.139,34.107.243.93,1,54,51452,443,1717495205.137225,16.0,Other,3232270731,577499997
152.195.38.76,192.168.137.139,1,60,80,54290,1717495205.1682503,25.0,Other,2562926156,3232270731
192.168.137.139,152.195.38.76,1,54,54290,80,1717495205.1682937,16.0,Other,3232270731,2562926156
192.168.137.139,142.250.71.131,1,54,53182,80,1717495205.5371723,16.0,Other,3232270731,2398766979
142.250.71.131,192.168.137.139,1,60,80,53182,1717495205.53784,16.0,Other,2398766979,3232270731
192.168.137.137,192.168.137.139,1,74,44714,80,1717495205.624165,2.0,Other,3232270729,3232270731
192.168.137.139,192.168.137.137,1,54,80,44714,1717495205.6242218,20.0,Other,3232270731,3232270729
192.168.137.139,34.107.221.82,1,54,48746,80,1717495205.7929227,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495205.793586,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48758,80,1717495206.0488157,16.0,Other,3232270731,577494354
192.168.137.139,23.43.165.42,1,54,59310,80,1717495206.0490606,16.0,Other,3232270731,388736298
34.107.221.82,192.168.137.139,1,60,80,48758,1717495206.0494797,16.0,Other,577494354,3232270731
23.43.165.42,192.168.137.139,1,60,80,59310,1717495206.04948,16.0,Other,388736298,3232270731
192.168.137.139,34.149.100.209,1,93,36168,443,1717495207.1467748,24.0,Other,3232270731,580216017
192.168.137.139,142.250.71.131,1,54,53182,80,1717495207.1474605,17.0,Other,3232270731,2398766979
34.149.100.209,192.168.137.139,1,60,443,36168,1717495207.1479385,16.0,Other,580216017,3232270731
142.250.71.131,192.168.137.139,1,60,80,53182,1717495207.147939,16.0,Other,2398766979,3232270731
34.149.100.209,192.168.137.139,1,93,443,36168,1717495207.1576908,24.0,Other,580216017,3232270731
192.168.137.139,34.149.100.209,1,54,36168,443,1717495207.1584966,16.0,Other,3232270731,580216017
142.250.71.131,192.168.137.139,1,60,80,53182,1717495207.2083914,25.0,Other,2398766979,3232270731
192.168.137.139,142.250.71.131,1,54,53182,80,1717495207.2084692,16.0,Other,3232270731,2398766979
192.168.137.139,34.120.208.123,1,93,59244,443,1717495208.1474319,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,59244,1717495208.1483748,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,93,443,59244,1717495208.1534548,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,59244,443,1717495208.206918,16.0,Other,3232270731,578343035
192.168.137.139,23.43.165.51,1,54,35392,80,1717495209.3768792,16.0,Other,3232270731,388736307
23.43.165.51,192.168.137.139,1,60,80,35392,1717495209.3773117,16.0,Other,388736307,3232270731
192.168.137.139,34.107.221.82,1,54,48746,80,1717495216.0328739,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495216.0333703,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48758,80,1717495216.2891133,16.0,Other,3232270731,577494354
192.168.137.139,23.43.165.42,1,54,59310,80,1717495216.2893825,16.0,Other,3232270731,388736298
34.107.221.82,192.168.137.139,1,60,80,48758,1717495216.291291,16.0,Other,577494354,3232270731
23.43.165.42,192.168.137.139,1,60,80,59310,1717495216.291291,16.0,Other,388736298,3232270731
192.168.137.139,23.43.165.42,1,54,59310,80,1717495218.1493125,17.0,Other,3232270731,388736298
23.43.165.42,192.168.137.139,1,60,80,59310,1717495218.1499887,16.0,Other,388736298,3232270731
23.43.165.42,192.168.137.139,1,60,80,59310,1717495218.1549551,25.0,Other,388736298,3232270731
192.168.137.139,23.43.165.42,1,54,59310,80,1717495218.154992,16.0,Other,3232270731,388736298
192.168.137.139,23.43.165.51,1,54,35392,80,1717495219.617024,16.0,Other,3232270731,388736307
23.43.165.51,192.168.137.139,1,60,80,35392,1717495219.6175423,16.0,Other,388736307,3232270731
192.168.137.137,192.168.137.139,1,74,58544,80,1717495220.6529703,2.0,Other,3232270729,3232270731
192.168.137.139,192.168.137.137,1,54,80,58544,1717495220.6530275,20.0,Other,3232270731,3232270729
192.168.137.139,23.43.165.51,1,54,35392,80,1717495221.27002,17.0,Other,3232270731,388736307
23.43.165.51,192.168.137.139,1,60,80,35392,1717495221.271095,16.0,Other,388736307,3232270731
23.43.165.51,192.168.137.139,1,60,80,35392,1717495221.2762754,25.0,Other,388736307,3232270731
192.168.137.139,23.43.165.51,1,54,35392,80,1717495221.2763216,16.0,Other,3232270731,388736307
192.168.137.139,34.98.75.36,1,93,48290,443,1717495223.1487134,24.0,Other,3232270731,576867108
34.98.75.36,192.168.137.139,1,60,443,48290,1717495223.149243,16.0,Other,576867108,3232270731
34.98.75.36,192.168.137.139,1,93,443,48290,1717495223.1551678,24.0,Other,576867108,3232270731
192.168.137.139,34.98.75.36,1,54,48290,443,1717495223.1552777,16.0,Other,3232270731,576867108
192.168.137.139,34.160.144.191,1,93,51202,443,1717495224.1499908,24.0,Other,3232270731,580948159
34.160.144.191,192.168.137.139,1,60,443,51202,1717495224.1504166,16.0,Other,580948159,3232270731
34.160.144.191,192.168.137.139,1,93,443,51202,1717495224.1574535,24.0,Other,580948159,3232270731
192.168.137.139,34.160.144.191,1,54,51202,443,1717495224.157532,16.0,Other,3232270731,580948159
192.168.137.139,34.107.221.82,1,54,48746,80,1717495226.2730775,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495226.2734692,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48758,80,1717495226.5291977,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495226.5317202,16.0,Other,577494354,3232270731
192.168.137.137,192.168.137.139,1,74,33892,80,1717495235.6714225,2.0,Other,3232270729,3232270731
192.168.137.139,192.168.137.137,1,54,80,33892,1717495235.6714916,20.0,Other,3232270731,3232270729
192.168.137.139,34.107.221.82,1,54,48746,80,1717495236.5131474,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495236.5137408,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48758,80,1717495236.7691247,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495236.7698174,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48746,80,1717495246.7545712,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495246.7550516,16.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48758,80,1717495247.0091174,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495247.009583,16.0,Other,577494354,3232270731
192.168.137.137,192.168.137.139,1,74,33660,80,1717495250.703108,2.0,Other,3232270729,3232270731
192.168.137.139,192.168.137.137,1,54,80,33660,1717495250.703172,20.0,Other,3232270731,3232270729
192.168.161.1,239.255.255.250,2,217,62080,1900,1717495252.5363114,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62083,1900,1717495252.5625134,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62080,1900,1717495253.5491908,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62083,1900,1717495253.5660806,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62080,1900,1717495254.5637112,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62083,1900,1717495254.572815,,UDP Flood,3232276737,4026531834
192.168.137.139,34.117.188.166,1,93,45388,443,1717495255.2706573,24.0,Other,3232270731,578141350
192.168.137.139,34.117.188.166,1,78,45388,443,1717495255.270989,25.0,Other,3232270731,578141350
34.117.188.166,192.168.137.139,1,60,443,45388,1717495255.271579,16.0,Other,578141350,3232270731
34.117.188.166,192.168.137.139,1,60,443,45388,1717495255.2715793,16.0,Other,578141350,3232270731
34.117.188.166,192.168.137.139,1,60,443,45388,1717495255.2788844,25.0,Other,578141350,3232270731
192.168.137.139,34.117.188.166,1,54,45388,443,1717495255.2789152,16.0,Other,3232270731,578141350
192.168.161.1,239.255.255.250,2,217,62080,1900,1717495255.5715842,,UDP Flood,3232276737,4026531834
192.168.161.1,239.255.255.250,2,217,62083,1900,1717495255.5865,,UDP Flood,3232276737,4026531834
192.168.137.137,192.168.137.2,2,100,46284,53,1717495256.9681904,,UDP Flood,3232270729,3232270594
192.168.137.2,192.168.137.137,2,292,53,46284,1717495256.9732168,,UDP Flood,3232270594,3232270729
192.168.137.137,91.189.91.48,1,74,41630,80,1717495256.9859393,2.0,Other,3232270729,1539136304
192.168.137.139,34.107.221.82,1,54,48746,80,1717495256.9931343,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48746,1717495256.993694,16.0,Other,577494354,3232270731
91.189.91.48,192.168.137.137,1,60,80,41630,1717495257.2258656,18.0,Other,1539136304,3232270729
192.168.137.137,91.189.91.48,1,60,41630,80,1717495257.2290118,16.0,Other,3232270729,1539136304
192.168.137.137,91.189.91.48,1,141,41630,80,1717495257.229012,24.0,Other,3232270729,1539136304
91.189.91.48,192.168.137.137,1,60,80,41630,1717495257.229012,16.0,Other,1539136304,3232270729
192.168.137.139,34.107.221.82,1,54,48758,80,1717495257.2520623,16.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495257.2525365,16.0,Other,577494354,3232270731
192.168.137.139,34.160.144.191,1,100,36824,443,1717495257.2834816,24.0,Other,3232270731,580948159
192.168.137.139,34.117.188.166,1,93,45394,443,1717495257.2838683,24.0,Other,3232270731,578141350
192.168.137.139,34.160.144.191,1,85,36824,443,1717495257.2844322,25.0,Other,3232270731,580948159
192.168.137.139,34.117.188.166,1,78,45394,443,1717495257.2853322,25.0,Other,3232270731,578141350
34.160.144.191,192.168.137.139,1,60,443,36824,1717495257.286206,16.0,Other,580948159,3232270731
34.117.188.166,192.168.137.139,1,60,443,45394,1717495257.2862065,16.0,Other,578141350,3232270731
34.160.144.191,192.168.137.139,1,60,443,36824,1717495257.2862065,16.0,Other,580948159,3232270731
34.117.188.166,192.168.137.139,1,60,443,45394,1717495257.2862065,16.0,Other,578141350,3232270731
34.160.144.191,192.168.137.139,1,60,443,36824,1717495257.2900155,25.0,Other,580948159,3232270731
192.168.137.139,34.160.144.191,1,54,36824,443,1717495257.2900455,16.0,Other,3232270731,580948159
34.117.188.166,192.168.137.139,1,60,443,45394,1717495257.3047214,25.0,Other,578141350,3232270731
192.168.137.139,34.117.188.166,1,54,45394,443,1717495257.3048105,16.0,Other,3232270731,578141350
91.189.91.48,192.168.137.137,1,243,80,41630,1717495257.4044123,25.0,Other,1539136304,3232270729
192.168.137.137,91.189.91.48,1,60,41630,80,1717495257.4050689,17.0,Other,3232270729,1539136304
91.189.91.48,192.168.137.137,1,60,80,41630,1717495257.405069,16.0,Other,1539136304,3232270729
192.168.137.139,34.107.243.93,1,93,51452,443,1717495258.284448,24.0,Other,3232270731,577499997
34.107.243.93,192.168.137.139,1,60,443,51452,1717495258.285182,16.0,Other,577499997,3232270731
192.168.137.139,34.107.243.93,1,78,51452,443,1717495258.285994,24.0,Other,3232270731,577499997
192.168.137.139,34.107.243.93,1,54,51452,443,1717495258.2864008,17.0,Other,3232270731,577499997
34.107.243.93,192.168.137.139,1,60,443,51452,1717495258.2865832,16.0,Other,577499997,3232270731
34.107.243.93,192.168.137.139,1,60,443,51452,1717495258.2869308,16.0,Other,577499997,3232270731
34.107.243.93,192.168.137.139,1,60,443,51452,1717495258.301864,25.0,Other,577499997,3232270731
192.168.137.139,34.107.243.93,1,54,51452,443,1717495258.301914,16.0,Other,3232270731,577499997
192.168.137.139,34.107.221.82,1,54,48758,80,1717495259.2861285,17.0,Other,3232270731,577494354
192.168.137.139,34.107.221.82,1,54,48746,80,1717495259.2865403,17.0,Other,3232270731,577494354
34.107.221.82,192.168.137.139,1,60,80,48758,1717495259.286754,16.0,Other,577494354,3232270731
34.107.221.82,192.168.137.139,1,60,80,48746,1717495259.287033,16.0,Other,577494354,3232270731
34.107.221.82,192.168.137.139,1,60,80,48746,1717495259.3198314,25.0,Other,577494354,3232270731
34.107.221.82,192.168.137.139,1,60,80,48758,1717495259.3198323,25.0,Other,577494354,3232270731
192.168.137.139,34.107.221.82,1,54,48746,80,1717495259.319906,16.0,Other,3232270731,577494354
192.168.137.139,34.107.221.82,1,54,48758,80,1717495259.320055,16.0,Other,3232270731,577494354
192.168.137.139,34.149.100.209,1,93,36168,443,1717495260.2869549,24.0,Other,3232270731,580216017
34.149.100.209,192.168.137.139,1,60,443,36168,1717495260.287884,16.0,Other,580216017,3232270731
192.168.137.139,34.149.100.209,1,78,36168,443,1717495260.2883441,24.0,Other,3232270731,580216017
192.168.137.139,34.149.100.209,1,54,36168,443,1717495260.288655,17.0,Other,3232270731,580216017
34.149.100.209,192.168.137.139,1,60,443,36168,1717495260.2892034,16.0,Other,580216017,3232270731
34.149.100.209,192.168.137.139,1,60,443,36168,1717495260.2892036,16.0,Other,580216017,3232270731
34.149.100.209,192.168.137.139,1,60,443,36168,1717495260.3039265,25.0,Other,580216017,3232270731
192.168.137.139,34.149.100.209,1,54,36168,443,1717495260.3039658,16.0,Other,3232270731,580216017
192.168.137.137,192.168.137.139,1,74,37202,80,1717495265.7464466,2.0,Other,3232270729,3232270731
